date,product_id,sales_amount,store_location
1/1/2025,P012,100,West Virginia
1/1/2025,P003,25,Ohio
1/1/2025,P006,200,Texas
1/1/2025,P009,50,Arizona
1/1/2025,P005,1000,Washington
1/1/2025,P010,900,Kentucky
1/1/2025,P006,2000,Maine
1/1/2025,P009,200,Georgia
1/1/2025,P002,60,District of Columbia
1/1/2025,P004,2000,Kansas
1/1/2025,P011,120,Washington
1/1/2025,P004,1200,Nevada
1/1/2025,P009,25,Ohio
1/1/2025,P011,600,West Virginia
1/1/2025,P010,2000,North Carolina
1/1/2025,P009,100,Minnesota
1/1/2025,P009,1500,Idaho
1/1/2025,P004,500,Utah
1/1/2025,P002,900,California
1/1/2025,P005,900,Missouri
1/1/2025,P002,2000,Arizona
1/1/2025,P010,50,New Jersey
1/1/2025,P010,30,Oklahoma
1/1/2025,P001,120,New York
1/1/2025,P003,50,Washington
1/1/2025,P006,100,Maine
1/2/2025,P007,300,Massachusetts
1/2/2025,P012,100,State
1/2/2025,P009,75,Washington
1/2/2025,P009,100,Oklahoma
1/2/2025,P005,200,Alaska
1/2/2025,P001,200,Oklahoma
1/2/2025,P009,100,Tennessee
1/2/2025,P009,200,New York
1/2/2025,P005,900,California
1/2/2025,P006,200,Utah
1/2/2025,P009,200,Alabama
1/2/2025,P011,1000,Rhode Island
1/2/2025,P002,1500,Arizona
1/2/2025,P001,2000,Maryland
1/2/2025,P012,300,Hawaii
1/2/2025,P006,90,West Virginia
1/2/2025,P001,100,Minnesota
1/2/2025,P003,500,Nebraska
1/2/2025,P006,1200,Nevada
1/2/2025,P010,500,Ohio
1/2/2025,P002,2000,Rhode Island
1/2/2025,P001,90,Tennessee
1/2/2025,P006,300,Maryland
1/2/2025,P006,600,Indiana
1/3/2025,P011,100,Tennessee
1/3/2025,P004,900,Texas
1/3/2025,P007,100,Montana
1/3/2025,P010,100,State
1/3/2025,P010,120,Maine
1/3/2025,P007,75,Illinois
1/3/2025,P001,600,Maryland
1/3/2025,P009,25,Kentucky
1/3/2025,P002,75,Nebraska
1/3/2025,P008,1500,Nebraska
1/3/2025,P001,120,Alabama
1/3/2025,P012,60,Kansas
1/3/2025,P010,150,New Hampshire
1/3/2025,P002,500,Missouri
1/3/2025,P001,200,Vermont
1/3/2025,P001,100,Rhode Island
1/3/2025,P006,300,New Jersey
1/3/2025,P008,150,Vermont
1/3/2025,P001,500,Colorado
1/3/2025,P001,150,Washington
1/3/2025,P008,500,Missouri
1/3/2025,P005,300,Alabama
1/3/2025,P007,150,New Jersey
1/4/2025,P004,75,West Virginia
1/4/2025,P011,50,Oklahoma
1/4/2025,P010,50,Iowa
1/4/2025,P007,900,Washington
1/4/2025,P007,25,New Mexico
1/4/2025,P003,100,Rhode Island
1/4/2025,P010,200,Kentucky
1/4/2025,P008,25,Delaware
1/4/2025,P012,300,Vermont
1/4/2025,P004,150,Rhode Island
1/4/2025,P005,90,Vermont
1/4/2025,P003,100,Arizona
1/4/2025,P011,150,Maine
1/4/2025,P008,1500,Indiana
